0x1fb3b6620: canAccessPathAt:methodName:error:
0x1fa8a401b: decodeXPCObjectForKey:
0x1f9e96b90: loadModelNewInstance:options:modelInstParams:qos:error:
0x1fabdf8d4: purgeCompiledModel:
0x1fb3b797e: modelAtURL:key:mpsConstants:
0x1fb3b8457: setAgentMask:
0x1fb3b62af: SHACode
0x1fabf10b0: aneBoardType
0x1fadf48b7: destinationOfSymbolicLinkAtPath:error:
0x1fb01a3f9: modelAttributes
0x1fb3b8498: setCurrentAsyncRequestsInFlight:
0x1fb3b693b: copySHA256For:toBuffer:
0x1fb3b6589: buffersReadyWithModel:inputBuffers:options:qos:error:
0x1fa7ea207: array
0x1fad6d190: copyOptions:dictionary:vmData:
0x1fb3b6a8a: defaultANECIRFileName
0x1fb3b6dbe: fastConnWithoutLock
0x1fa44144e: initWithFormat:
0x1fb3b7781: issueSandboxExtensionForModel:error:
0x1faad4690: stringValue
0x1f9f7b610: setCompletionHandler:
0x1f9f2be21: controller
0x1fb3b6e33: hashForString:seed:
0x1fb3b65e4: buildSpecificUserModelDataVaultDirectory
0x1f9ef6d90: allKeys
0x1fadef306: dataWithLength:
0x1f9fbe910: date
0x1fadec5c6: dictionaryWithObjectsAndKeys:
0x1fb3b7881: loopbackInputSymbolIndex
0x1fb3b8070: programInferenceOtherErrorForMethod:
0x1fb3b8530: setSignalEvents:
0x1fad32fce: fileExistsAtPath:isDirectory:
0x1fa790390: getCFDictionaryFromIOSurface:dataLength:
0x1fb3b73ff: initWithProcedureData:procedureArray:
0x1fb3b77db: launchUserIOKitEvent
0x1fb3b80e7: programLoadErrorForMethod:
0x1fb3b8128: programLoadNewInstanceErrorForMethod:code:
0x1fb3b6ff4: initWithCsIdentity:teamIdentity:modelIdentifier:processIdentifier:
0x1fadf9526: numberWithUnsignedInteger:
0x1fb0251d7: procedureIndex
0x1fb3b8290: reportErrorMsg:status:
0x1fb3b84b9: setIndex
0x1fa436810: boolValue
0x1fa4be4b0: endRealTimeTask
0x1fab39290: hash
0x1faded0db: interfaceWithProtocol:
0x1fb3b772f: isEqualToInMemoryModelDescriptor:
0x1f9ea1f10: mutableBytes
0x1fadfd173: stringByAppendingFormat:
0x1f9fc29bc: aneArchitectureType
0x1fb3468df: hwExecutionTime
0x1fb3b83d0: resetOnUnload
0x1fa9aa290: numANECores
0x1fb3b8a56: tokenWithCsIdentity:teamIdentity:modelIdentifier:processIdentifier:
0x1fa804e90: initWithCoder:
0x1fab0fa10: UTF8String
0x1fa0fcc10: arguments
0x1fadec7a4: fileURLWithPath:
0x1fae0ebd2: fileURLWithPath:isDirectory:
0x1f9e8ad90: length
0x1fb3b8d18: vm_tmpBaseDirectory
0x1fb3b754b: initWithVirtualModel:
0x1fb3b8bb7: userCloneDirectory
0x1fb3b8581: setWeightURL:
0x1fb3b85cf: signalEvents
0x1fb3b87a3: testing_ThreeSixtyModelName
0x1fb3b7fa0: programChainingPrepareErrorForMethod:
0x1fb3b6501: baseModelIdentifierNotFoundForNewInstanceMethod:
0x1fb3b699c: correctFileURLFormat:
0x1fad06aae: getModelAttribute:
0x1fb3b8795: tempDirectory
0x1fb3b6adc: defaultLLIRBundleName
0x1fb3b6357: releaseSandboxExtension:handle:
0x1fabd7e90: appendBytes:length:
0x1fadea120: lengthOfBytesUsingEncoding:
0x1fb3b7a1f: modelAtURLWithSourceURL:sourceURL:key:identifierSource:cacheURLIdentifier:UUID:
0x1fb3b6465: aggressivePowerSavingEntitlement
0x1fb3b67eb: compilerOptionsFileName
0x1f9eed0bc: copyModelOptionFiles:options:vmData:
0x1fa56a210: dictionary
0x1fb3b6da6: executionDelay
0x1fb3b62b7: inputIndexArray
0x1fadfaa4a: rangeOfString:
0x1fa811c90: removeLastObject
0x1fb3b854f: setTransactionHandle:
0x1fadf5190: enumeratorAtPath:
0x1fa9a2b90: fileModificationDate
0x1f9e44590: fileSize
0x1fa000690: initWithController:
0x1fa7cb910: stringFromDate:
0x1fb3b8947: testing_userCacheDirectory
0x1fb3b8d60: waitEvents
0x1fa0618d0: aneSubType
0x1fb3b8d84: weightURL
0x1fa54a6eb: tests
0x1fb3b88b1: testing_external_precompiledModelPath
0x1fa4eea90: appendString:
0x1fb3b6c68: doPrepareChainingWithModel:options:chainingReq:qos:error:
0x1f9df3588: hasANE
0x1fa1e96db: instanceName
0x1fa130e10: key
0x1fad710a9: mapper
0x1fb3b7d96: pps_frameworkDir
0x1fb024b80: objectWithIOSurface:
0x1fa0c8b90: UUID
0x1fa364990: copyDictionaryToIOSurface:copiedDataSize:createdIOSID:
0x1fb3b7dd5: prepareANEMemoryMappingParams:request:
0x1fa83fc10: setObject:forKey:
0x1fa232f90: source
0x1fb3b869c: storageMaintainerAccessEntitlement
0x1fb3b6b2f: deviceController
0x1fa804810: printStruct:
0x1fb3b6a42: daemonConnectionRestricted
0x1fb3b6aa0: defaultANECIROptionsFileName
0x1fadef5ae: numberWithLong:
0x1fa200d90: updateError:errorLength:errorCode:error:
0x1fb3472a3: evaluateRealTimeWithModel:options:request:error:
0x1fa0a42bf: compileModel:options:qos:error:
0x1fa05e010: freeModelFileIOSurfaces:
0x1fb3b81a5: programWithHandle:intermediateBufferHandle:queueDepth:
0x1fb3b82d1: reportTelemetryToPPS:playload:
0x1faf82046: setQueueDepth:
0x1f9fbd410: sharedEvent
0x1fb3b6337: programLoadErrorForMethod:code:
0x1fa1aec90: connect
0x1fb3b7e88: priorityQ
0x1f9dfd810: modelIdentifier
0x1f9e19d77: compiledModelExistsFor:
0x1fa3c5dc9: framework
0x1fadea0d3: stringWithFormat:
0x1fb3b8aca: unloadModel:options:qos:withReply:
0x1fa440690: unsignedShortValue
0x1fa07eee8: hostBuildVersionStr
0x1fb3b89bb: testing_userCloneDirectory:
0x1fa535cdc: copyToIOSurface:length:ioSID:
0x1f9e9fc90: indexSet
0x1fae0ed25: numberWithInteger:
0x1fb3b8c38: virtualClient
0x1fb3b7448: initWithReconstructedData:hardwareExecutionNS:
0x1fb3b6c0f: doLoadModel:options:qos:error:
0x1fb3b6e98: hwxExtension
0x1fb3b7679: inputSymbolIndicesForProcedureIndex:
0x1f9dfa090: invalidate
0x1fb3b84c2: setIntermediateBufferHandle:
0x1fb3b86bf: stringForPerfCounter:
0x1fb3b876b: teamIDFor:processIdentifier:
0x1f9e8f0f7: outputDictIOSurfaceSize
0x1fa4a415d: aneSubTypeVariant
0x1f9e22390: bytes
0x1fb3b660d: cacheURLIdentifier
0x1f9ebe590: debugDescription
0x1fadec8b6: getCString:maxLength:encoding:
0x1fa429a90: resume
0x1fa127790: setInvalidationHandler:
0x1fb3b8c5f: virtualizationHostError:
0x1fb3b6e47: hexStringForBytes:length:
0x1fb3b7d1c: ppsCategoryForANE
0x1fb3b7b10: modelSourceStoreName
0x1fb3b816a: programWithController:intermediateBufferHandle:queueDepth:
0x1fa6f2a90: setObject:atIndexedSubscript:
0x1fb3b7e70: priorityErrorForMethod:
0x1fb3b76f2: invalidModelKeyErrorForMethod:
0x1fa4ac4b6: beginRealTimeTask
0x1fa677f90: getDictionaryWithJSONEncodingFromIOSurface:withArchivedDataSize:
0x1fb3b87d6: testing_cacheDirectoryWithSuffix:
0x1fb3b6abd: defaultCompilerOptionsFilename
0x1fa761d90: echo:
0x1fb3b6317: pps_internalDir
0x1fb3b8b4e: updateModelAttributes:state:programHandle:intermediateBufferHandle:queueDepth:
0x1fac1feb8: sendGuestBuildVersion
0x1fb020e5f: hexStringForData:
0x1fb3b74ca: initWithSignalEvents:waitEvents:
0x1fa326110: processName
0x1fad0cf10: queue
0x1f9df02f7: readDataOfLength:
0x1fb3b862d: statsWithReconstructed:hardwareExecutionNS:aneStatsRawData:
0x1fa6ec090: .cxx_destruct
0x1fb3b8b15: unmapIOSurfacesWithRequest:
0x1fb3493bc: sharedEventsWithSignalEvents:waitEvents:
0x1f9e38d90: supportsSecureCoding
0x1fb023e7e: loadWithQoS:options:error:
0x1f9fde410: doMapIOSurfacesWithModel:request:cacheInference:error:
0x1f9ee2826: objectAtIndexedSubscript:
0x1fb3b7c24: optionsPlist
0x1fa178210: unsignedIntegerValue
0x1fb348240: objectWithIOSurface:statType:
0x1fb3b6d80: errorDomainEspresso
0x1faaa7425: UUIDString
0x1f9e67e90: count
0x1f9e131a6: daemon
0x1fa209890: enumerateKeysAndObjectsUsingBlock:
0x1fb3b6dd2: fileAccessErrorForMethod:
0x1fb3b6f6d: initWithANEPrivilegedVM:
0x1faa58490: isEqual:
0x1fadf950f: numberWithUnsignedInt:
0x1faa2d7f8: fileAttributes
0x1fa1e5f10: integerValue
0x1f9e17a10: setModelURL:
0x1fb349409: signalEventWithValue:symbolIndex:eventType:sharedEvent:
0x1fb3b8d36: waitEventWithValue:sharedEvent:eventType:
0x1fb3b8d77: weightSymbol
0x1fb3b8a1f: tokenWithAuditToken:modelIdentifier:processIdentifier:
0x1fb3b7c6c: outputSetWithProcedureIndex:setIndex:signalValue:signalNotRequired:isOpenLoop:
0x1fb346ac8: aneRealTimeTaskQoS
0x1fadebec2: cStringUsingEncoding:
0x1fb3b7086: initWithIOSurface:startOffset:shouldRetain:
0x1fb01a359: ioSurfaceObject
0x1fa856fa0: negotiatedCapabilityMask
0x1fa484190: objectForKeyedSubscript:
0x1fb3b7c42: outputArray
0x1fb3b6417: adapterWeightsAccessEntitlementBypassBootArg
0x1fa7b9590: initWithBytes:length:
0x1fb3b75eb: inputArray
0x1fa5dfaa7: loadModel:options:qos:error:
0x1fabe8134: sessionHintWithModel:hint:options:report:error:
0x1fb3b8930: testing_tempDirectory:
0x1fa11d4bd: printIOSurfaceDataInBytes:
0x1fb3477a4: hexStringIdentifier
0x1fb3b6e8c: hostTooOld:
0x1fb3b6d05: endRealTimeTaskWithReply:
0x1fa9be090: fileType
0x1fb3b7510: initWithValue:symbolIndex:eventType:sharedEvent:agentMask:
0x1fb3b7767: isPrivileged
0x1fb3b7b6e: mpsConstants
0x1fb0245d6: modelWithNetworkDescription:weights:optionsPlist:
0x1fb3b6397: connectionsUsedForLoadingModels
0x1fb3b6f1a: initOutputSetWithProcedureIndex:setIndex:signalValue:signalNotRequired:isOpenLoop:
0x1fa9948e2: isBoolBootArgSetTrue:
0x1f9ff6dba: mapIOSurfacesWithModel:request:cacheInference:error:
0x1fb3b7e34: prepareChainingWithModel:options:chainingReq:qos:withReply:
0x1fb3b79d4: modelAtURLWithSourceURL:sourceURL:key:identifierSource:cacheURLIdentifier:
0x1fa870410: errorWithDomain:code:userInfo:
0x1fb3b6e08: fwEnqueueDelay
0x1fa3ef290: model
0x1f9ee6890: timeIntervalSince1970
0x1fa3eda9c: unsignedIntValue
0x1fae30e3c: value:withObjCType:
0x1fb3b8d8e: weightWithSymbolAndURLSHA:weightURL:SHACode:
0x1fadea776: URLByDeletingLastPathComponent
0x1f9e9f910: connections
0x1fb3b63f7: procedureInfoForProcedureIndex:
0x1fadeeb29: setWithObject:
0x1fb3b6cda: emitPerfcounterSignpostsWithModelStringID:
0x1fb3b7dbf: pps_tmpDir
0x1fa7079c0: purgeCompiledModelMatchingHash:
0x1fb02960b: unloadWithQoS:error:
0x1fae24083: initForReadingFromData:error:
0x1fb3b7275: initWithModelAtURL:sourceURL:UUID:key:identifierSource:cacheURLIdentifier:modelAttributes:standardizeURL:string_id:generateNewStringId:
0x1fb3b7836: loadModelNewInstance:options:modelInstParams:qos:withReply:
0x1fb3b7d08: performanceCounters
0x1fabf10a4: startOffset
0x1fb3b8bdf: userMachServiceName
0x1fb3b8278: reportClient:modelName:
0x1fb3b7fc6: programCreationErrorForMethod:
0x1fa271490: init
0x1fb3b7e92: procedureArray
0x1fad0afa2: maintenance
0x1fb3b72fd: initWithModelAtURL:sourceURL:UUID:key:identifierSource:cacheURLIdentifier:modelAttributes:standardizeURL:string_id:generateNewStringId:mpsConstants:
0x1fb3492a1: setSharedEvents:
0x1fb01b08c: aneUserInteractiveTaskQoS
0x1fb3b891d: testing_modelNames
0x1f9dea185: conn
0x1f9e976b6: daemonConnection
0x1fb3b6e78: hexStringForString:
0x1fb3b775c: isOpenLoop
0x1fa754d90: copyModelOptionFiles:options:dictionary:vmData:
0x1fb3b7cc6: outputSymbolIndicesForProcedureIndex:
0x1fb3497da: withProcedureData:procedureArray:
0x1fb3b66e2: cloneIfWritable:isEncryptedModel:cloneDirectory:
0x1fab6b8ba: encodeInteger:forKey:
0x1fac81890: encodeWithCoder:
